,project_owner,project_name
0,tensorflow,tensorflow
1,pytorch,pytorch
2,golang,go
3,rust-lang,rust
4,huggingface,transformers
5,vuejs,vue
6,angular,angular
7,flutter,flutter
8,rails,rails
9,microsoft,vscode
10,kubernetes,kubernetes
11,cocos2d,cocos2d-x
12,nodejs,node
